id,year,exercise,question,title,difficulty,concepts,skills,folder
BAC-2012-SCI-EX01B-Q2,2012,EX01B,2,دراسة الرتابة والتقارب,medium,"monotonicity, convergence","دراسة إشارة فرق, استنتاج التقارب",mathematics/sequences/bac/2012/EX01B/Q02_BAC-2012-SCI-EX01B-Q2
BAC-2012-SCI-EX01B-Q3,2012,EX01B,3,تحويل لوغاريتمي إلى هندسية,hard,"log_transform, geometric_sequence, limit","استعمال اللوغاريتم, إثبات هندسية, حساب النهاية",mathematics/sequences/bac/2012/EX01B/Q03_BAC-2012-SCI-EX01B-Q3
BAC-2012-SCI-EX01B-Q4,2012,EX01B,4,حساب جداء P_n ونهايته,hard,"product, logarithm, sum","تحويل جداء إلى مجموع, حساب نهاية",mathematics/sequences/bac/2012/EX01B/Q04_BAC-2012-SCI-EX01B-Q4
BAC-2013-SCI-EX02A-Q1,2013,EX02A,1,إثبات هندسية v_n وحساب نهايتها,easy,"geometric_sequence, limit","إثبات هندسية, حساب نهاية",mathematics/sequences/bac/2013/EX02A/Q01_BAC-2013-SCI-EX02A-Q1
BAC-2013-SCI-EX02A-Q2,2013,EX02A,2,حصر متتالية جذرية ودراسة رتابتها,medium,"induction, boundedness, monotonicity","إثبات الحصر, دراسة الرتابة",mathematics/sequences/bac/2013/EX02A/Q02_BAC-2013-SCI-EX02A-Q2
BAC-2013-SCI-EX02A-Q3,2013,EX02A,3,استعمال المقارنة لاستنتاج النهاية,medium,"comparison, squeeze_theorem, limit","استعمال الحصر, حساب النهاية",mathematics/sequences/bac/2013/EX02A/Q03_BAC-2013-SCI-EX02A-Q3
BAC-2013-SCI-EX02B-Q1,2013,EX02B,1,قراءة الرسم وتخمين السلوك,easy,"graphical_method, recursive_sequence","قراءة رسم, تخمين السلوك",mathematics/sequences/bac/2013/EX02B/Q01_BAC-2013-SCI-EX02B-Q1
BAC-2013-SCI-EX02B-Q2,2013,EX02B,2,إثبات الحصر والرتابة,medium,"function_monotonicity, induction, sequence_monotonicity","إثبات رتابة دالة, إثبات حصر, إثبات رتابة متتالية",mathematics/sequences/bac/2013/EX02B/Q02_BAC-2013-SCI-EX02B-Q2
BAC-2013-SCI-EX02B-Q3,2013,EX02B,3,تحويل v_n=(u_n-1)/u_n إلى هندسية,medium,"geometric_transformation, limit","تحويل إلى هندسية, حساب النهاية",mathematics/sequences/bac/2013/EX02B/Q03_BAC-2013-SCI-EX02B-Q3
BAC-2014-SCI-EX01A-Q1,2014,EX01A,1,إثبات أن v_n=u_n+4 هندسية,medium,geometric_transformation,"إثبات هندسية, تعيين الأساس",mathematics/sequences/bac/2014/EX01A/Q01_BAC-2014-SCI-EX01A-Q1
BAC-2014-SCI-EX01A-Q2,2014,EX01A,2,كتابة u_n وحساب المجموع,medium,"explicit_formula, sum","كتابة حد عام, حساب مجموع",mathematics/sequences/bac/2014/EX01A/Q02_BAC-2014-SCI-EX01A-Q2
BAC-2014-SCI-EX01A-Q3,2014,EX01A,3,دراسة w_n وحساب نهاية فرق,hard,"monotonicity, limit, auxiliary_sequence","إثبات الرتابة, حساب نهاية",mathematics/sequences/bac/2014/EX01A/Q03_BAC-2014-SCI-EX01A-Q3
BAC-2014-SCI-EX01B-Q1,2014,EX01B,1,إثبات هندسية المتتالية الأسية,easy,"exponential_sequence, geometric_sequence, limit","إثبات هندسية, حساب نهاية",mathematics/sequences/bac/2014/EX01B/Q01_BAC-2014-SCI-EX01B-Q1
BAC-2014-SCI-EX01B-Q2,2014,EX01B,2,حساب مجموع S_n,easy,"sum, geometric_sequence",حساب مجموع هندسي,mathematics/sequences/bac/2014/EX01B/Q02_BAC-2014-SCI-EX01B-Q2
BAC-2014-SCI-EX01B-Q3,2014,EX01B,3,استعمال اللوغاريتم وحساب P_n,medium,"logarithm, arithmetic_sequence, inequality","استعمال اللوغاريتم, حساب مجموع حسابي, حل متراجحة",mathematics/sequences/bac/2014/EX01B/Q03_BAC-2014-SCI-EX01B-Q3
BAC-2015-SCI-EX03-Q1,2015,EX03,1,حساب الحدود الأولى لمتتالية أسية تراجعية,easy,"first_terms, recursive_sequence",حساب حدود أولى,mathematics/sequences/bac/2015/EX03/Q01_BAC-2015-SCI-EX03-Q1
BAC-2015-SCI-EX03-Q2,2015,EX03,2,إثبات الإيجابية 1+u_n>0,medium,"positivity, induction",إثبات الإيجابية بالتراجع,mathematics/sequences/bac/2015/EX03/Q02_BAC-2015-SCI-EX03-Q2
BAC-2015-SCI-EX03-Q3,2015,EX03,3,دراسة الرتابة والتقارب,medium,"monotonicity, boundedness, convergence","إثبات الرتابة, استنتاج التقارب",mathematics/sequences/bac/2015/EX03/Q03_BAC-2015-SCI-EX03-Q3
BAC-2015-SCI-EX03-Q4,2015,EX03,4,تحويل v_n=3(1+u_n) إلى هندسية,medium,"geometric_transformation, limit","تحويل إلى هندسية, حساب النهاية",mathematics/sequences/bac/2015/EX03/Q04_BAC-2015-SCI-EX03-Q4
BAC-2015-SCI-EX03-Q5,2015,EX03,5,حساب مجموع اللوغاريتمات,hard,"logarithm, sum, geometric_sequence","استعمال اللوغاريتم, حساب مجموع حسابي",mathematics/sequences/bac/2015/EX03/Q05_BAC-2015-SCI-EX03-Q5
